scene_number,header,avg_sentiment,line_count
1,INT.,0.115,55
2,INT.,0.052,25
3,INT.,-0.03,8
4,EXT.,0.063,12
5,INT.,-0.096,5
6,INT.,-0.024,9
7,INT.,0.034,34
8,INT.,0.04,82
10,EXT.,0.0,1
11,INT.,0.047,21
12,INT.,0.032,7
13,INT.,-0.098,26
14,EXT.,0.0,3
15,INT.,0.0,1
16,INT.,0.0,2
17,INT.,0.0,1
18,INT.,0.0,1
19,INT.,0.095,5
20,INT.,0.0,1
21,INT.,0.0,2
27,INT.,0.0,1
28,EXT.,-0.168,5
29,INT.,0.047,66
30,INT.,0.0,1
31,INT.,0.004,59
32,INT.,-0.084,5
33,INT.,-0.107,14
36,INT.,-0.028,22
37,EXT.,-0.307,4
38,INT.,-0.074,18
39,INT.,0.048,46
41,EXT.,-0.011,25
42,INT.,0.127,5
43,EXT.,0.201,2
44,INT.,-0.646,2
46,INT.,0.0,4
48,INT.,0.137,6
49,INT.,-0.096,32
50,EXT.,0.0,3
51,EXT.,0.053,6
52,INT.,0.058,153
53,INT.,0.0,1
54,EXT.,0.0,1
59,INT.,0.0,1
63,INT.,0.04,11
64,INT.,0.082,10
65,INT.,-0.027,27
68,INT.,0.039,15
72,EXT.,-0.089,31
73,INT.,0.463,3
74,INT.,-0.111,19
76,INT.,0.004,35
77,INT.,0.082,14
78,INT.,-0.056,16
79,INT.,0.273,1
80,INT.,-0.035,7
81,INT.,0.0,5
83,INT.,0.119,13
84,INT.,0.212,10
85,INT.,0.227,11
86,INT.,0.133,10
87,INT.,0.124,5
88,INT.,0.159,3
89,EXT.,0.125,24
90,INT.,0.173,8
91,EXT.,0.12,20
92,INT.,0.031,62
94,INT.,0.016,74
